caseId,caseName,caseType,status,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_001,河南物流园区套餐定制,business_answer,SUCCESS,53.9264,52.132,,22.33,,95.3918,79192.0,7265.0,orchestration not applicable
power_trade_standard_v1_002,盘前电力交易简报,business_answer,SUCCESS,49.1994,42.48,,45.0,,90.3552,108214.0,10029.0,orchestration not applicable
power_trade_standard_v1_003,山东竞价空间数据,data_query,SUCCESS,45.9144,36.098,,45.0,,83.432,146920.0,13947.0,orchestration not applicable
power_trade_standard_v1_004,新建发电企业注册办理,business_answer,SUCCESS,36.7173,31.16,,4.0,,100.0,42788.0,1952.0,orchestration not applicable
power_trade_standard_v1_005,进口煤限制放开影响分析,scenario_analysis,SUCCESS,25.6286,14.08,,9.0,,100.0,28530.0,1540.0,orchestration not applicable
power_trade_standard_v1_006,储能补贴传言影响分析,scenario_analysis,SUCCESS,34.8386,26.974,,9.0,,100.0,26803.0,1527.0,orchestration not applicable
power_trade_standard_v1_007,隔壁省停电跨省交易影响,scenario_analysis,SUCCESS,48.0571,45.48,,9.0,,100.0,41682.0,1649.0,orchestration not applicable
power_trade_standard_v1_008,夏季高温社交情绪风险,scenario_analysis,SUCCESS,44.8429,40.98,,9.0,,100.0,21024.0,1357.0,orchestration not applicable
power_trade_standard_v1_009,买卖一价差大卖盘增加,strategy_advice,SUCCESS,32.5429,25.4,,9.0,,100.0,23271.0,1499.0,orchestration not applicable
power_trade_standard_v1_010,截标前地板价卖单涌现,strategy_advice,SUCCESS,38.8686,35.24,,9.0,,100.0,22094.0,1454.0,orchestration not applicable
power_trade_standard_v1_011,上午十点成交量达到八成,strategy_advice,SUCCESS,31.3086,23.48,,9.0,,100.0,22700.0,1441.0,orchestration not applicable
power_trade_standard_v1_012,晚高峰成交进度滞后,strategy_advice,SUCCESS,42.16,40.36,,9.0,,100.0,23535.0,1480.0,orchestration not applicable
power_trade_standard_v1_013,大盘偏慢买方主动增强策略,strategy_advice,SUCCESS,28.2061,18.654,,9.0,,100.0,31086.0,1470.0,orchestration not applicable
power_trade_standard_v1_014,陕西日前现货申报策略,strategy_advice,SUCCESS,50.0675,48.426,,28.0,,90.5555,108971.0,9728.0,orchestration not applicable
power_trade_standard_v1_015,上周现货出清电价,data_query,SUCCESS,43.5466,32.2,,45.0,,82.7283,139467.0,15484.0,orchestration not applicable
power_trade_standard_v1_016,陕西昨日申报负荷曲线,data_query,SUCCESS,39.6055,29.32,,28.0,,96.6616,60457.0,7710.0,orchestration not applicable
power_trade_standard_v1_017,陕西上周现货价差,data_query,SUCCESS,45.801,36.2,,45.0,,82.3398,125867.0,17281.0,orchestration not applicable
power_trade_standard_v1_018,今日全省开停机情况,data_query,SUCCESS,40.8408,23.88,,45.0,,96.0987,82650.0,6124.0,orchestration not applicable
power_trade_standard_v1_019,后天气象情况,data_query,SUCCESS,37.8683,27.4,,36.22,,78.9991,164680.0,17158.0,orchestration not applicable
power_trade_standard_v1_020,跨省绿电交易规则,business_answer,SUCCESS,40.9764,33.68,,40.0,,82.0828,173599.0,12797.0,orchestration not applicable
power_trade_standard_v1_021,年用电量500万kWh用户入市,business_answer,SUCCESS,39.144,33.56,,9.0,,100.0,44205.0,1983.0,orchestration not applicable
power_trade_standard_v1_022,前天现货复盘,business_answer,SUCCESS,46.675,40.72,,45.0,,81.1025,170627.0,14197.0,orchestration not applicable
power_trade_standard_v1_023,明天全省电源预测总出力,data_query,SUCCESS,44.5195,30.76,,41.67,,99.72,58788.0,4315.0,orchestration not applicable
power_trade_standard_v1_024,2025年绿电交易价格机制,business_answer,SUCCESS,46.5098,43.28,,33.2,,77.5835,181266.0,17092.0,orchestration not applicable
power_trade_standard_v1_025,跨省绿电安全校核流程,business_answer,SUCCESS,47.2629,39.28,,45.0,,93.4319,107471.0,6642.0,orchestration not applicable
power_trade_standard_v1_026,光储充消防标准,business_answer,SUCCESS,42.8908,33.47,,41.67,,95.926,92543.0,5329.0,orchestration not applicable
