caseId,caseName,caseType,status,answerOutcome,scoreEligibility,scoreEligibilityReason,scorableNonSuccess,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_001,河南物流园区套餐定制,business_answer,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,84.15,100.0,,75.0,75.0,8.0,,1387562.0,
power_trade_standard_v1_002,盘前电力交易简报,business_answer,FAILED,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,True,71.65,75.0,,75.0,75.0,8.0,,7341680.0,case status is FAILED; scoreEligibility=SCORABLE; metric-derived score used; 风控检查无法完成：必填输入缺失。具体缺失项：1) load_forecast（负荷预测数据）— 私有数据采集阶段确认无用户上传私有数据文件，无负荷预测数据落库；2) bid_curve（日前申报曲线）— 策略生成任务因私有数据缺失降级运行，未生成完整日前申报曲线。可选数据缺失（导致规则跳过）：持仓分析数据（RC-05/06/07 SKIPPED）、月累计偏差率（RC-04 SKIPPED）、价格预测曲线（RC-05 SKIPPED）。当前已获取：市场分析评分S=2.67/置信度78%/方向震荡、策略评分S=-3.83/方向偏空。建议：补充负荷预测和日前申报曲线数据后重新执行风控检查，或控制层评估是否允许降级跳过。
power_trade_standard_v1_003,江苏竞价空间数据,data_query,SUCCESS,DATA_UNAVAILABLE,SCORABLE,successful caseRun with useful final output,False,83.0109,90.0,,95.83,60.0,41.0684,362981.0,1068547.0,
power_trade_standard_v1_004,新建发电企业注册办理,business_answer,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,64.15,75.0,,75.0,50.0,8.0,,98647.0,
power_trade_standard_v1_005,进口煤限制放开影响分析,scenario_analysis,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,71.65,75.0,,75.0,75.0,8.0,,4513628.0,
power_trade_standard_v1_006,储能补贴传言影响分析,scenario_analysis,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,82.9,100.0,,75.0,75.0,8.0,,1900731.0,
power_trade_standard_v1_007,隔壁省停电跨省交易影响,scenario_analysis,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,71.65,75.0,,75.0,75.0,8.0,,3462336.0,
power_trade_standard_v1_008,夏季高温社交情绪风险,scenario_analysis,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,76.15,85.0,,75.0,75.0,8.0,,1804354.0,
power_trade_standard_v1_009,买卖一价差大卖盘增加,strategy_advice,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,71.65,75.0,,75.0,75.0,8.0,,5282619.0,
power_trade_standard_v1_010,截标前地板价卖单涌现,strategy_advice,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,82.9,100.0,,75.0,75.0,8.0,,2354116.0,
