caseId,caseName,caseType,status,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_001,河南物流园区套餐定制,business_answer,SUCCESS,48.9851,47.94,,29.25,,74.468,171775.0,21546.0,orchestration not applicable
power_trade_standard_v1_002,盘前电力交易简报,business_answer,SUCCESS,49.3067,46.8,,45.0,,67.4004,186025.0,28072.0,orchestration not applicable
power_trade_standard_v1_003,山东竞价空间数据,data_query,SUCCESS,39.2727,32.38,,29.25,,81.2507,128920.0,18201.0,orchestration not applicable
power_trade_standard_v1_004,新建发电企业注册办理,business_answer,SUCCESS,46.1031,47.94,,29.25,,52.8536,230397.0,51935.0,orchestration not applicable
power_trade_standard_v1_005,进口煤限制放开影响分析,scenario_analysis,SUCCESS,27.3864,17.0,,9.0,,97.7047,69972.0,5585.0,orchestration not applicable
power_trade_standard_v1_006,储能补贴传言影响分析,scenario_analysis,TIMEOUT,0.0,,,,,,240043.0,,case status is TIMEOUT; case score forced to 0; Hermes case timed out after 240s
power_trade_standard_v1_007,隔壁省停电跨省交易影响,scenario_analysis,SUCCESS,40.2983,35.48,,9.0,,95.6884,88045.0,6046.0,orchestration not applicable
power_trade_standard_v1_008,夏季高温社交情绪风险,scenario_analysis,SUCCESS,45.0276,41.64,,9.0,,97.9931,67418.0,5516.0,orchestration not applicable
power_trade_standard_v1_009,买卖一价差大卖盘增加,strategy_advice,SUCCESS,39.6226,36.84,,9.0,,98.0781,66101.0,5552.0,orchestration not applicable
power_trade_standard_v1_010,截标前地板价卖单涌现,strategy_advice,SUCCESS,39.7394,36.84,,9.0,,98.896,55566.0,5242.0,orchestration not applicable
power_trade_standard_v1_011,上午十点成交量达到八成,strategy_advice,SUCCESS,38.3093,35.48,,9.0,,95.0048,97566.0,5863.0,orchestration not applicable
power_trade_standard_v1_012,晚高峰成交进度滞后,strategy_advice,SUCCESS,44.405,44.6,,9.0,,96.6347,78970.0,5889.0,orchestration not applicable
power_trade_standard_v1_013,大盘偏慢买方主动增强策略,strategy_advice,SUCCESS,56.3813,55.04,,41.67,,84.484,126225.0,14833.0,orchestration not applicable
power_trade_standard_v1_014,陕西日前现货申报策略,strategy_advice,SUCCESS,44.7058,42.908,,29.25,,75.9794,171472.0,19876.0,orchestration not applicable
power_trade_standard_v1_015,上周现货出清电价,data_query,SUCCESS,38.9906,31.518,,29.25,,82.6247,108052.0,18742.0,orchestration not applicable
power_trade_standard_v1_016,陕西昨日申报负荷曲线,data_query,SUCCESS,35.9315,27.37,,29.25,,78.4595,139601.0,20273.0,orchestration not applicable
power_trade_standard_v1_017,陕西上周现货价差,data_query,SUCCESS,37.7995,29.818,,29.25,,81.3144,115313.0,19490.0,orchestration not applicable
power_trade_standard_v1_018,今日全省开停机情况,data_query,SUCCESS,39.5954,31.994,,31.85,,80.3762,119078.0,20169.0,orchestration not applicable
power_trade_standard_v1_019,后天气象情况,data_query,SUCCESS,40.8937,36.142,,29.25,,77.723,146536.0,20408.0,orchestration not applicable
power_trade_standard_v1_020,跨省绿电交易规则,business_answer,SUCCESS,39.6254,42.5,,29.25,,34.1905,440357.0,44765.0,orchestration not applicable
power_trade_standard_v1_021,年用电量500万kWh用户入市,business_answer,SUCCESS,41.2287,42.5,,29.25,,46.2151,305080.0,65587.0,orchestration not applicable
power_trade_standard_v1_022,前天现货复盘,business_answer,SUCCESS,44.6374,41.31,,29.9,,77.6757,164868.0,18628.0,orchestration not applicable
power_trade_standard_v1_023,明天全省电源预测总出力,data_query,SUCCESS,40.2083,34.068,,29.9,,79.9034,127887.0,19820.0,orchestration not applicable
power_trade_standard_v1_024,2025年绿电交易价格机制,business_answer,SUCCESS,49.994,53.38,,29.25,,52.115,238706.0,58457.0,orchestration not applicable
power_trade_standard_v1_025,跨省绿电安全校核流程,business_answer,SUCCESS,41.9204,42.5,,29.25,,51.4029,246717.0,60405.0,orchestration not applicable
power_trade_standard_v1_026,光储充消防标准,business_answer,SUCCESS,39.0705,40.032,,29.25,,43.6027,334470.0,76355.0,orchestration not applicable
power_trade_standard_v1_027,浙江峰谷价差与工商业储能投资,business_answer,SUCCESS,39.014,39.78,,29.25,,44.5651,323643.0,47598.0,orchestration not applicable
power_trade_standard_v1_028,实时电价查询,data_query,SUCCESS,41.6268,36.618,,29.25,,80.6203,129102.0,18892.0,orchestration not applicable
power_trade_standard_v1_029,上个月电价查询,data_query,SUCCESS,35.9775,26.894,,29.25,,80.4961,127529.0,19189.0,orchestration not applicable
power_trade_standard_v1_030,明天电价预测,data_query,SUCCESS,45.2164,35.08,,41.67,,88.2937,90156.0,14154.0,orchestration not applicable
power_trade_standard_v1_031,电价上涨原因分析,business_answer,SUCCESS,45.1741,42.5,,29.25,,75.806,174812.0,19737.0,orchestration not applicable
power_trade_standard_v1_032,选择最省钱用电套餐,robustness,SUCCESS,51.4042,42.88,,9.0,,96.7944,78163.0,5790.0,orchestration not applicable
power_trade_standard_v1_033,账单分析与套餐推荐,business_answer,SUCCESS,43.2644,41.4,,9.0,,87.7833,177978.0,5946.0,orchestration not applicable
power_trade_standard_v1_034,今日盘前交易简报,business_answer,SUCCESS,40.7209,42.5,,29.25,,42.4071,347920.0,45458.0,orchestration not applicable
power_trade_standard_v1_035,大丰风电场功率预测,data_query,SUCCESS,37.5334,29.818,,29.25,,79.6286,132458.0,19672.0,orchestration not applicable
power_trade_standard_v1_036,威海光伏站现货申报策略,strategy_advice,SUCCESS,46.2999,45.526,,29.25,,75.3576,179237.0,19799.0,orchestration not applicable
power_trade_standard_v1_037,浙江未来两天日前现货电价预测,data_query,SUCCESS,34.3814,25.194,,29.25,,76.6209,169185.0,19383.0,orchestration not applicable
power_trade_standard_v1_038,代理售电负荷预测,robustness,SUCCESS,51.6268,42.88,,9.0,,97.9073,68453.0,5509.0,orchestration not applicable
power_trade_standard_v1_039,后天全省光伏风电预测,data_query,SUCCESS,38.9891,32.13,,29.25,,80.3709,121077.0,19975.0,orchestration not applicable
power_trade_standard_v1_040,江苏能量块后天预测,data_query,SUCCESS,40.1734,34.442,,29.25,,79.394,141047.0,19077.0,orchestration not applicable
power_trade_standard_v1_041,今明两天竞价空间,data_query,SUCCESS,40.3531,34.068,,29.9,,80.8202,104443.0,21133.0,orchestration not applicable
power_trade_standard_v1_042,未来用户预测负荷,robustness,SUCCESS,49.3365,43.466,,29.25,,77.5572,139122.0,21336.0,orchestration not applicable
power_trade_standard_v1_043,历史用户实际电量,robustness,SUCCESS,28.5557,10.88,,9.0,,99.8853,18082.0,4129.0,orchestration not applicable
