caseId,caseName,caseType,status,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_001,河南物流园区套餐定制,business_answer,SUCCESS,43.6377,41.4,,9.0,,90.5826,164386.0,4156.0,orchestration not applicable
power_trade_standard_v1_002,盘前电力交易简报,business_answer,SUCCESS,29.124,14.2,,40.33,,100.0,49349.0,2522.0,orchestration not applicable
power_trade_standard_v1_003,山东竞价空间数据,data_query,SUCCESS,30.1656,10.0,,40.33,,87.1656,204387.0,2067.0,orchestration not applicable
power_trade_standard_v1_004,新建发电企业注册办理,business_answer,SUCCESS,41.5254,41.4,,9.0,,74.7402,334483.0,4969.0,orchestration not applicable
power_trade_standard_v1_005,进口煤限制放开影响分析,scenario_analysis,SUCCESS,29.5221,23.16,,9.0,,81.8547,259335.0,4480.0,orchestration not applicable
power_trade_standard_v1_006,储能补贴传言影响分析,scenario_analysis,SUCCESS,42.8374,41.64,,9.0,,82.6621,243861.0,5119.0,orchestration not applicable
power_trade_standard_v1_007,隔壁省停电跨省交易影响,scenario_analysis,SUCCESS,43.3759,41.64,,9.0,,86.4315,208796.0,4385.0,orchestration not applicable
power_trade_standard_v1_008,夏季高温社交情绪风险,scenario_analysis,SUCCESS,48.9039,47.8,,9.0,,94.3271,123820.0,3994.0,orchestration not applicable
power_trade_standard_v1_009,买卖一价差大卖盘增加,strategy_advice,SUCCESS,39.9886,38.44,,9.0,,93.4399,133801.0,3483.0,orchestration not applicable
power_trade_standard_v1_010,截标前地板价卖单涌现,strategy_advice,SUCCESS,38.585,36.84,,9.0,,90.8153,163328.0,3553.0,orchestration not applicable
power_trade_standard_v1_011,上午十点成交量达到八成,strategy_advice,SUCCESS,48.2466,55.48,,9.0,,74.5663,328929.0,5720.0,orchestration not applicable
power_trade_standard_v1_012,晚高峰成交进度滞后,strategy_advice,SUCCESS,46.3278,47.8,,9.0,,95.6948,108433.0,3748.0,orchestration not applicable
power_trade_standard_v1_013,大盘偏慢买方主动增强策略,strategy_advice,SUCCESS,37.7021,41.64,,9.0,,63.0347,474500.0,4136.0,orchestration not applicable
power_trade_standard_v1_014,陕西日前现货申报策略,strategy_advice,SUCCESS,28.2947,9.4,,40.33,,95.2678,113237.0,2182.0,orchestration not applicable
power_trade_standard_v1_015,上周现货出清电价,data_query,SUCCESS,25.0446,10.0,,40.33,,54.7322,569263.0,2265.0,orchestration not applicable
power_trade_standard_v1_016,陕西昨日申报负荷曲线,data_query,SUCCESS,32.1921,10.0,,40.33,,100.0,53630.0,2024.0,orchestration not applicable
power_trade_standard_v1_017,陕西上周现货价差,data_query,SUCCESS,31.0859,10.0,,40.33,,92.9939,138819.0,2073.0,orchestration not applicable
power_trade_standard_v1_018,今日全省开停机情况,data_query,SUCCESS,32.1921,10.0,,40.33,,100.0,23860.0,2532.0,orchestration not applicable
power_trade_standard_v1_019,后天气象情况,data_query,SUCCESS,32.1921,10.0,,40.33,,100.0,48110.0,2187.0,orchestration not applicable
power_trade_standard_v1_020,跨省绿电交易规则,business_answer,SUCCESS,25.0468,14.2,,40.33,,69.4212,404012.0,2088.0,orchestration not applicable
power_trade_standard_v1_021,年用电量500万kWh用户入市,business_answer,SUCCESS,28.429,14.2,,40.33,,94.7874,118642.0,2174.0,orchestration not applicable
power_trade_standard_v1_022,前天现货复盘,business_answer,SUCCESS,31.5624,17.2,,43.33,,98.7882,73633.0,2190.0,orchestration not applicable
power_trade_standard_v1_023,明天全省电源预测总出力,data_query,SUCCESS,25.6127,10.0,,40.33,,58.3305,528782.0,2254.0,orchestration not applicable
power_trade_standard_v1_024,2025年绿电交易价格机制,business_answer,SUCCESS,28.2488,14.2,,40.33,,93.4356,133849.0,2052.0,orchestration not applicable
power_trade_standard_v1_025,跨省绿电安全校核流程,business_answer,SUCCESS,26.2336,14.2,,40.33,,78.3219,303879.0,2164.0,orchestration not applicable
power_trade_standard_v1_026,光储充消防标准,business_answer,SUCCESS,38.081,38.6,,9.0,,64.3075,423621.0,7792.0,orchestration not applicable
power_trade_standard_v1_027,浙江峰谷价差与工商业储能投资,business_answer,SUCCESS,28.5571,14.2,,40.33,,95.7484,107831.0,2128.0,orchestration not applicable
power_trade_standard_v1_028,实时电价查询,data_query,SUCCESS,29.1198,10.0,,40.33,,80.5422,278900.0,2165.0,orchestration not applicable
