model_name,dataset_name,dataset_path,dataset_config,horizon,cutoff,lead_time,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target_column,generate_univariate_targets_from,past_dynamic_columns,excluded_columns,test_error,training_time_s,inference_time_s,dataset_fingerprint,trained_on_this_dataset,fev_version,LOAD_ACC,MAE,MAPE,RMSE
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-480,1,96,512,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.3697061749511621,,,20a8aca49bf213b4,False,0.5.0,0.3697061749511621,378.8471374511719,0.1052765995264053,627.77001953125
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-384,1,96,512,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.3884650689288938,,,20a8aca49bf213b4,False,0.5.0,0.3884650689288938,291.23907470703125,0.0918484702706337,521.4087524414062
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-288,1,96,512,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.4069180985739873,,,20a8aca49bf213b4,False,0.5.0,0.4069180985739873,258.0478820800781,0.0944633856415748,447.4099731445313
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-192,1,96,512,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.3969569737904306,,,20a8aca49bf213b4,False,0.5.0,0.3969569737904306,264.8277282714844,0.090381383895874,462.52490234375
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-96,1,96,512,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.4160022476095594,,,20a8aca49bf213b4,False,0.5.0,0.4160022476095594,228.26390075683597,0.0841105654835701,384.056396484375
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-480,1,96,1024,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.3831272585411516,,,20a8aca49bf213b4,False,0.5.0,0.3831272585411516,306.3653564453125,0.0935891941189765,519.8233032226562
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-384,1,96,1024,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.3924308173565076,,,20a8aca49bf213b4,False,0.5.0,0.3924308173565076,266.8162841796875,0.0863302201032638,476.3504028320313
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-288,1,96,1024,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.4148922519849949,,,20a8aca49bf213b4,False,0.5.0,0.4148922519849949,224.6664276123047,0.0811957344412803,403.5511474609375
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-192,1,96,1024,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.4062978538958649,,,20a8aca49bf213b4,False,0.5.0,0.4062978538958649,237.29544067382807,0.0756522491574287,414.8511047363281
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-96,1,96,1024,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.4162388854977052,,,20a8aca49bf213b4,False,0.5.0,0.4162388854977052,221.19097900390625,0.087131567299366,374.3052368164063
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-480,1,96,2048,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.3864992494185817,,,20a8aca49bf213b4,False,0.5.0,0.3864992494185817,293.1025390625,0.0915159359574318,500.3462219238281
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-384,1,96,2048,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.4001165605526385,,,20a8aca49bf213b4,False,0.5.0,0.4001165605526385,246.0436553955078,0.0783461704850196,448.0439758300781
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-288,1,96,2048,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.4162290772054996,,,20a8aca49bf213b4,False,0.5.0,0.4162290772054996,220.3758850097656,0.0786166042089462,391.7630310058594
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-192,1,96,2048,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.4096444425034463,,,20a8aca49bf213b4,False,0.5.0,0.4096444425034463,225.92526245117188,0.0711267814040184,400.5180969238281
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/aemo.parquet,,96,-96,1,96,2048,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.4219112016560954,,,20a8aca49bf213b4,False,0.5.0,0.4219112016560954,209.20166015625,0.0788657963275909,356.3768005371094
moirai_2.0_R_small,load,/mnt/EnergyEVA/load/entsoe.parquet,,24,-120,1,24,512,1,LOAD_ACC,"['RMSE', 'MAPE', 'MAE']",,item_id,datetime,target,,[],[],0.9145538991267036,,,fc56f801f318843e,False,0.5.0,0.9145538991267036,467.2930908203125,0.0229082349687814,879.9730224609375
