model_name,dataset_name,dataset_path,dataset_config,horizon,cutoff,lead_time,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target_column,generate_univariate_targets_from,past_dynamic_columns,excluded_columns,test_error,training_time_s,inference_time_s,dataset_fingerprint,trained_on_this_dataset,fev_version,MAE,MAPE,RMSE,SOLAR_ACC
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-480,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6322720458514318,,,0f1a571bd4095271,False,0.5.0,0.0872900709509849,0.7923572659492493,0.1724783480167389,0.6322720458514318
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-384,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6455374041048054,,,0f1a571bd4095271,False,0.5.0,0.0844810307025909,0.8349234461784363,0.1710848659276962,0.6455374041048054
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-288,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6300291711625663,,,0f1a571bd4095271,False,0.5.0,0.0870272368192672,1.0699124336242676,0.1727333813905716,0.6300291711625663
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-192,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6393562549232286,,,0f1a571bd4095271,False,0.5.0,0.0867194682359695,0.7732763886451721,0.1762253046035766,0.6393562549232286
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-96,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.5965340514154444,,,0f1a571bd4095271,False,0.5.0,0.0963439494371414,0.8902648091316223,0.1856970638036728,0.5965340514154444
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-480,1,96,1024,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6581264329008918,,,0f1a571bd4095271,False,0.5.0,0.0770635306835174,0.7175235748291016,0.1539655178785324,0.6581264329008918
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-384,1,96,1024,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6720220705749456,,,0f1a571bd4095271,False,0.5.0,0.0746642500162124,0.7291399836540222,0.1518433541059494,0.6720220705749456
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-288,1,96,1024,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6613928519305056,,,0f1a571bd4095271,False,0.5.0,0.0738594755530357,0.9656513333320618,0.1465710699558258,0.6613928519305056
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-192,1,96,1024,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6760566479186068,,,0f1a571bd4095271,False,0.5.0,0.0716235488653183,0.7063632607460022,0.1478627324104309,0.6760566479186068
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-96,1,96,1024,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6238672100645627,,,0f1a571bd4095271,False,0.5.0,0.0830656513571739,0.8253673911094666,0.1632623374462127,0.6238672100645627
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-480,1,96,2048,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6726033025378628,,,0f1a571bd4095271,False,0.5.0,0.06968455016613,0.6904494166374207,0.1403095722198486,0.6726033025378628
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-384,1,96,2048,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6859590469522002,,,0f1a571bd4095271,False,0.5.0,0.066910833120346,0.7055688500404358,0.1350146979093551,0.6859590469522002
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-288,1,96,2048,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6737682966467914,,,0f1a571bd4095271,False,0.5.0,0.0672826394438743,0.964585781097412,0.1349174231290817,0.6737682966467914
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-192,1,96,2048,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6892179371477976,,,0f1a571bd4095271,False,0.5.0,0.0651238337159156,0.6778570413589478,0.1325298249721527,0.6892179371477976
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-96,1,96,2048,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6375095072889755,,,0f1a571bd4095271,False,0.5.0,0.0763427019119262,0.825376570224762,0.1506922096014022,0.6375095072889755
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/pvod.parquet,,96,-480,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6685709135369913,,,d62c5d2296dfe006,False,0.5.0,0.0650996640324592,1.2281438112258911,0.1298078298568725,0.6685709135369913
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/pvod.parquet,,96,-384,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6711220977856279,,,d62c5d2296dfe006,False,0.5.0,0.0676679462194442,0.8646557927131653,0.1425317525863647,0.6711220977856279
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/pvod.parquet,,96,-288,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.7114030042615688,,,d62c5d2296dfe006,False,0.5.0,0.0605841502547264,0.7372928261756897,0.1209755018353462,0.7114030042615688
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/pvod.parquet,,96,-192,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6994713555816756,,,d62c5d2296dfe006,False,0.5.0,0.0627574473619461,0.926953673362732,0.1258914917707443,0.6994713555816756
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/pvod.parquet,,96,-96,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.7222412191320601,,,d62c5d2296dfe006,False,0.5.0,0.0561599917709827,1.3719619512557983,0.1140557453036308,0.7222412191320601
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/pvod.parquet,,96,-480,1,96,1024,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6650731406891046,,,d62c5d2296dfe006,False,0.5.0,0.0607214458286762,1.3542659282684326,0.1182331815361976,0.6650731406891046
moirai_1.1_R_large,solar,/mnt/EnergyEVA/solar/pvod.parquet,,96,-384,1,96,1024,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.679486768214426,,,d62c5d2296dfe006,False,0.5.0,0.0583504885435104,0.8237053155899048,0.1214960888028144,0.679486768214426
