model_name,dataset_name,dataset_path,dataset_config,horizon,cutoff,lead_time,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target_column,generate_univariate_targets_from,past_dynamic_columns,excluded_columns,test_error,training_time_s,inference_time_s,dataset_fingerprint,trained_on_this_dataset,fev_version,MAE,MAPE,RMSE,SOLAR_ACC
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-480,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6681917905807495,,,0f1a571bd4095271,False,0.5.0,0.0606591217219829,1.1961500644683838,0.1231125146150589,0.6681917905807495
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-384,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6578816175460815,,,0f1a571bd4095271,False,0.5.0,0.061455737799406,1.415656566619873,0.1230037435889244,0.6578816175460815
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-288,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6458494067192078,,,0f1a571bd4095271,False,0.5.0,0.0637272298336029,1.7994835376739502,0.1262562721967697,0.6458494067192078
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-192,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6691811084747314,,,0f1a571bd4095271,False,0.5.0,0.0611342154443264,1.295097589492798,0.1218697279691696,0.6691811084747314
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-96,1,96,512,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6585294008255005,,,0f1a571bd4095271,False,0.5.0,0.0620979629456996,1.318772315979004,0.1230645775794982,0.6585294008255005
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-480,1,96,1024,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6623268723487854,,,0f1a571bd4095271,False,0.5.0,0.0589977726340293,1.0476707220077517,0.1199602633714675,0.6623268723487854
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-384,1,96,1024,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6625820398330688,,,0f1a571bd4095271,False,0.5.0,0.0550241321325302,1.2787262201309204,0.1110716685652732,0.6625820398330688
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-288,1,96,1024,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6599645614624023,,,0f1a571bd4095271,False,0.5.0,0.0562769956886768,1.6567206382751465,0.1138728410005569,0.6599645614624023
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-192,1,96,1024,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6721477508544922,,,0f1a571bd4095271,False,0.5.0,0.0576110444962978,1.21286940574646,0.116389088332653,0.6721477508544922
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-96,1,96,1024,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.665843665599823,,,0f1a571bd4095271,False,0.5.0,0.059867788106203,1.0484051704406738,0.1201086714863777,0.665843665599823
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-480,1,96,2048,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.670121967792511,,,0f1a571bd4095271,False,0.5.0,0.0564709194004535,0.9876156449317932,0.1142851486802101,0.670121967792511
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-384,1,96,2048,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6614675521850586,,,0f1a571bd4095271,False,0.5.0,0.0544956065714359,1.182706594467163,0.1106969714164733,0.6614675521850586
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-288,1,96,2048,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6452364325523376,,,0f1a571bd4095271,False,0.5.0,0.0587362721562385,1.6457513570785522,0.1187203153967857,0.6452364325523376
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-192,1,96,2048,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6691408157348633,,,0f1a571bd4095271,False,0.5.0,0.0570962876081466,1.213939905166626,0.1158430874347686,0.6691408157348633
sundial_base_128m,solar,/mnt/EnergyEVA/solar/csg_forecast_competition.parquet,,96,-96,1,96,2048,1,SOLAR_ACC,"['MAE', 'RMSE', 'MAPE']",,item_id,datetime,avg_power,,[],[],0.6687403321266174,,,0f1a571bd4095271,False,0.5.0,0.0588071607053279,1.026127576828003,0.1168693229556083,0.6687403321266174
